dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,6,sbs,macro_f1,0.8397085610200364,0.7954545454545454,0.7485714285714286,33,"f1,f2,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5874746000044979
ionosphere,knn5,6,random,accuracy,0.9545454545454546,0.8181818181818182,0.7904761904761906,3,"f7,f11,f16",1156,6.864330799959134
ionosphere,knn5,6,random,macro_f1,0.9494252873563218,0.8181818181818182,0.7904761904761906,3,"f7,f11,f16",1156,7.9272373000276275
ionosphere,knn5,7,baseline,none,,0.7727272727272727,0.7135416666666667,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009885499952360988
ionosphere,knn5,7,sfs,accuracy,0.9545454545454546,0.8295454545454546,0.8118317890235209,2,"f5,f28",99,0.3491232999949716
ionosphere,knn5,7,sfs,macro_f1,0.9372772630078403,0.8977272727272727,0.8852672750977836,3,"f8,f7,f5",130,0.5996747000026517
ionosphere,knn5,7,sbs,accuracy,0.8636363636363636,0.7727272727272727,0.7135416666666667,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5031580999493599
ionosphere,knn5,7,sbs,macro_f1,0.8362282878411911,0.7727272727272727,0.7135416666666667,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5974816000089049
ionosphere,knn5,7,random,accuracy,0.9204545454545454,0.9090909090909091,0.8988505747126436,2,"f7,f8",1156,6.631131500005722
ionosphere,knn5,7,random,macro_f1,0.910763436187165,0.9090909090909091,0.8988505747126436,2,"f7,f8",1156,9.803204600000754
ionosphere,knn5,8,baseline,none,,0.8636363636363636,0.8397085610200364,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.012497099989559501
ionosphere,knn5,8,sfs,accuracy,0.8977272727272727,0.8409090909090909,0.8229885057471265,3,"f31,f23,f32",130,0.5262323999777436
ionosphere,knn5,8,sfs,macro_f1,0.8785089737689831,0.8409090909090909,0.8229885057471265,3,"f31,f23,f32",130,0.677794199960772
